Name,Purchase Date,Product,Price
SmiTh MichAeL,2024-03-04,Camera,863.71
wiLLIams MIchaEl,01-19-2024,Headphones,856.63
BrOwN MiChAEl,06/01/2024,Headphones,286.13 EURO
brOWn SArAh,25/01/2024,Camera,713 USD
wiLLiAms MiCHaEL,01/02/2024,Phone,363
sMITh sArah,2024/02/18,Laptop,609.46 USD
Brown johN,02-21-2024,Headphones,415.96
BROwN SaRAh,2024/02/06,Laptop,412
WiLlIAMS lindA,2024-01-04,Camera,851.39
JohnSON sarAh,2024/01/29,Camera,563 USD
sMitH SAraH,30/01/2024,Laptop,422.1
jOhnsoN LInDa,01-30-2024,Camera,191
JoHNSON SAraH,2024/03/01,Headphones,302 EURO
jOHNsOn MiChAEl,2024/03/02,Watch,637 USD
smitH SARah,2024-02-04,Laptop,595.42 USD
JonES jOHN,2024-02-14,Camera,440
wILlIAmS JOhn,01-07-2024,Camera,396.73
bRowN saRaH,2024/02/07,Camera,740 EURO
jOHNson KAReN,2024/02/13,Phone,436 EURO
brown MiChaeL,23/02/2024,Camera,228 EURO
BROWn MichaEL,2024-01-17,Camera,583
jOhnSon kAReN,2024/02/03,Laptop,907.01 USD
WIlLIaMS jOHN,2024-01-31,Watch,635.5 USD
WilLIAMS john,2024/02/06,Camera,182
brown mIChAeL,2024-02-24,Camera,299.9 USD
JOhnSon saraH,02-07-2024,Camera,384.58 EURO
jONEs JOHN,2024-02-29,Headphones,41
jOHNSON jOHN,2024-01-05,Phone,502.91
JONes Karen,01-11-2024,Watch,231.67
joHNSOn miCHAEl,31/01/2024,Watch,580
smiTH JoHN,02-01-2024,Headphones,726.32
WilLIAMs linDA,2024/02/04,Phone,76 EURO
joHNSon LInDA,2024/01/11,Phone,720
SmITh lINdA,2024-01-25,Laptop,982.89 EURO
BrowN MIChael,20/02/2024,Phone,511.92
joNes mIcHAel,2024/02/23,Laptop,776.98 USD
BROWn joHn,27/02/2024,Watch,293.69 USD
JOHNsOn linDA,2024/02/09,Headphones,356 USD
WIlLIAMS MIcHAel,01-26-2024,Camera,391 USD
JohnSoN lInDA,2024/02/16,Camera,521 USD
bROwn SARaH,10/02/2024,Watch,491.58
JoNeS LINdA,01-22-2024,Headphones,853.79
bRoWN MichaEL,01-24-2024,Camera,88 EURO
wiLliams JohN,08/02/2024,Phone,915 USD
joHNson LiNDa,10/01/2024,Headphones,908
BrOwn lINDA,2024-01-02,Watch,450.22
joHNsoN LINDa,01-04-2024,Camera,497.3 EURO
WiLLiamS lINDa,08/01/2024,Camera,238.89
JOHnSoN KarEn,2024/02/21,Camera,968.06
joNEs linDA,2024/03/03,Phone,102.78
wiLLIAms MIcHael,31/01/2024,Camera,348 USD
JONES sarAH,2024/01/20,Camera,572.14
smITh MIcHael,09/02/2024,Phone,834 EURO
jones sARAH,26/01/2024,Headphones,977.14
smitH sARAH,01-21-2024,Headphones,887 USD
broWN JOhn,2024/02/28,Watch,250 USD
wiLlIAMs KAreN,03-02-2024,Laptop,180.01
WILliAMS MIchAel,2024-01-20,Phone,673.84 EURO
jOHnSON KAREN,2024-01-24,Phone,38 EURO
WIlLIAMs KarEN,2024-02-07,Phone,108.7
wiLLiAMS LInDa,08/02/2024,Watch,483
BROWN saraH,2024-02-29,Camera,298
bRown kARen,01-18-2024,Phone,276.09
bROWN LINdA,01-11-2024,Laptop,874
sMITh LiNdA,06/01/2024,Headphones,120 USD
sMiTh JOHN,03/03/2024,Camera,836.57 EURO
smiTh joHN,09/02/2024,Watch,898.33
joHnsON SARah,2024/02/28,Watch,176 USD
wiLLiamS joHN,23/01/2024,Phone,934
jOhNson JOhn,27/01/2024,Camera,583
BroWn JoHN,2024/02/28,Phone,374
broWN saRAh,2024/01/17,Camera,691
wILlIAms Karen,02-02-2024,Headphones,894.63 USD
JoNES johN,27/01/2024,Phone,997 USD
SMITh SaRah,14/02/2024,Watch,771 USD
WiLliamS linda,17/02/2024,Camera,966.9
SMitH karen,2024/02/24,Headphones,105.25 EURO
JoNEs MICHAEL,20/02/2024,Phone,543 USD
BrOwN kaREn,01-09-2024,Phone,159.47
BROWn lInDa,2024-03-04,Phone,136.15
sMItH SarAh,2024/01/23,Camera,585 USD
brown kaRen,2024-01-26,Watch,490 EURO
bRowN Sarah,2024/01/25,Laptop,253
brOwn sARaH,07/01/2024,Phone,140.58
SMIth LINdA,02-19-2024,Watch,53 USD
JohnSON johN,2024/01/21,Camera,511.82
jOhNsOn mIChaEl,01-10-2024,Headphones,704 EURO
sMItH John,02-26-2024,Headphones,779 EURO
brown miChAEL,02-27-2024,Phone,113.92
WILliaMs SAraH,01-15-2024,Laptop,434.61
SMith JoHn,13/02/2024,Watch,902.39 EURO
jOHnsOn johN,2024/01/24,Laptop,911.85 EURO
JohnSoN LInDa,2024/02/07,Watch,626.99 USD
SMITh jOHn,2024/01/15,Camera,902
BRoWn mIChael,2024-01-04,Watch,913
wIlLIAMS kaREN,2024-02-03,Laptop,397
JONEs miCHael,03-03-2024,Laptop,944.73
joNEs JoHN,01-12-2024,Laptop,29 USD
WiLlIAMs MIcHAeL,09/01/2024,Camera,451 USD
WilLIAms SaRAH,2024/02/12,Watch,124 EURO
BrowN JOHN,02-03-2024,Headphones,875.4 USD
BROwN JOhn,2024/02/02,Phone,352.61 EURO
bROwN SAraH,2024/01/04,Laptop,559 EURO
bRown LinDA,28/01/2024,Phone,739.52 EURO
JOhnSON SArah,2024-02-20,Phone,433.78
broWn sARAH,01-05-2024,Camera,688
JONeS mIcHAeL,2024/02/11,Laptop,865 USD
BRoWN jOhn,2024-02-27,Laptop,279
jOHNsON miCHaEL,02/02/2024,Laptop,406
BrOWn sarAh,2024/01/06,Phone,809 EURO
joHnsOn MICHAEl,29/02/2024,Watch,777 EURO
WILlIaMS Karen,01/01/2024,Laptop,752.18
jOhnSoN SARAh,01-15-2024,Laptop,497 EURO
JOhNSoN KARen,2024-01-05,Watch,550 USD
WIlLiaMS KaREN,24/02/2024,Laptop,573.15 EURO
SmitH KareN,2024/01/04,Watch,91
JoHNSOn MIchaEL,13/02/2024,Headphones,739 USD
JOHNsON LinDA,01-18-2024,Watch,349.32
JonES KarEn,10/02/2024,Laptop,340
JohNsON MiChAel,2024/02/07,Watch,297 USD
jonEs jOHn,29/02/2024,Headphones,910
wIlLiamS saraH,07/01/2024,Headphones,303.2 EURO
jOnes MiChAEL,02-26-2024,Headphones,314 EURO
BrOWn SARah,2024-01-05,Phone,793.09 USD
SmITh JohN,04/03/2024,Camera,955
brOwN KArEN,03/03/2024,Laptop,231
WiLLiaMS miChAEl,21/02/2024,Headphones,230 EURO
joneS LiNDA,2024/02/26,Watch,198
wILLIams lINDa,2024-02-27,Laptop,327 EURO
bRoWn jOHn,02-17-2024,Camera,463 EURO
bROWN kARen,04/01/2024,Camera,377
SmITH miCHaeL,2024/02/01,Headphones,163.16
JOhnSON liNdA,02/02/2024,Phone,938.31
jOnEs JOHN,2024-01-03,Laptop,862.56
sMITH linDa,2024/02/02,Camera,763
SMith KAReN,2024/01/26,Headphones,666 EURO
JOneS sARah,2024-02-01,Camera,134 EURO
BrOWN jOhN,01-29-2024,Watch,173.75
JOhnSon KareN,03/02/2024,Phone,651 EURO
WILLiAMS JOhn,01-25-2024,Headphones,398
sMITh miChAeL,01-02-2024,Headphones,367 USD
sMIth saraH,2024/01/13,Watch,640.06
jOhnsOn johN,24/02/2024,Camera,323
johNson MiChAel,06/01/2024,Watch,595.56
JoNes saRah,02-19-2024,Watch,782
SmITH michael,02-28-2024,Watch,443 USD
JohnSon MiCHaEL,2024/01/29,Headphones,725 USD
JoNes mIChaEL,2024/02/24,Laptop,785 USD
JONEs KAREn,02-22-2024,Watch,163
smITh mICHAel,02/03/2024,Laptop,281.46
SmIth SAraH,01/02/2024,Laptop,526
brOWn JOHN,2024/02/04,Laptop,327 USD
joHNsOn liNda,02-28-2024,Watch,483.76 USD
SMiTH JOhn,02-24-2024,Watch,920.88 USD
johnSoN KAREn,2024-01-12,Headphones,946.53 USD
sMiTH mIChael,16/01/2024,Laptop,666.35 USD
joHNSOn MICHael,2024-03-04,Watch,973 USD
JOHnson jOHN,2024/01/25,Phone,929
WIlLiams kaReN,19/01/2024,Laptop,759.12
JoneS MIcHaeL,2024/02/01,Headphones,552.63 USD
jONeS joHN,28/01/2024,Watch,522.23 USD
JONes KaREn,10/01/2024,Phone,779.2 EURO
Smith lINDa,2024/01/06,Camera,77
brOwn kAReN,14/02/2024,Camera,926 EURO
WilLiAMs jOhN,2024-03-03,Watch,174.2 EURO
smitH KAren,03/01/2024,Camera,667
JOnes miChAel,02-01-2024,Phone,432
BRown KAREn,2024/02/10,Camera,705.61 EURO
jONES mIcHAel,21/02/2024,Laptop,216 EURO
JOnes JOhN,02/01/2024,Headphones,352 USD
jonES LiNdA,02-14-2024,Watch,205
WiLliams Karen,01-27-2024,Headphones,309.98 EURO
SMith JOhn,02-15-2024,Camera,355 USD
JOneS JOHn,2024-02-12,Camera,460.63
jOnes kAREN,2024-02-06,Headphones,808.57 EURO
BROwN lInDa,2024/02/21,Watch,641 EURO
joHNSoN sarAH,28/01/2024,Headphones,69
wiLLiAMS KarEN,2024/01/22,Phone,142.61
JOhNsoN joHn,01-06-2024,Phone,527.92
wiLliams micHael,2024/02/10,Watch,959.7
bRoWn saRah,02-25-2024,Phone,377
JOnES miCHaEL,01-01-2024,Laptop,365.82
JoNEs LIndA,2024/03/01,Laptop,390.35
JohNsOn miChAeL,2024-01-07,Phone,115 EURO
JONES LiNda,03-04-2024,Phone,817
BrOWN LiNdA,2024/02/04,Laptop,824.53 USD
bROwN SArAH,2024-02-26,Camera,451 USD
SMitH linDA,01-07-2024,Phone,561.69
joNes MIcHael,01-21-2024,Camera,723
WiLLIAMS lIndA,01-09-2024,Camera,504.47 USD
WILlIams john,29/02/2024,Camera,144.14 USD
johnsoN JoHN,01-12-2024,Camera,860.39
JOHnSOn MICHAel,2024/02/22,Camera,619.5 USD
JONes LInDa,17/02/2024,Watch,233.27
WilLiams jOhn,2024/02/11,Laptop,236.34 USD
sMItH johN,29/01/2024,Headphones,480.54 EURO
WiLLIams lInDa,2024/03/01,Laptop,145
Williams KAreN,2024/01/17,Watch,802
WiLlIAmS kAreN,13/01/2024,Phone,32.81
smIth LINda,02-10-2024,Camera,131.14 USD
JOhnsoN SArah,2024-02-28,Phone,839.04 EURO
JonEs lINDa,16/02/2024,Phone,176.11
SmITh JOhN,01-26-2024,Camera,932 EURO
brOWN micHaeL,2024/02/07,Watch,247 USD
Johnson MICHaEL,2024-02-21,Phone,489.46
Smith LINda,03-01-2024,Watch,268 USD
wIllIAMs LInDA,01-28-2024,Laptop,813
JONES MicHaEl,2024/02/03,Phone,225
joneS JOhN,26/01/2024,Headphones,372.91
jOhnSOn saRah,01-13-2024,Headphones,351 USD
JOHnSOn MicHAeL,01/03/2024,Headphones,954.56
WiLLIaMs MICHaeL,2024-02-29,Camera,435.01
wILlIaMs LindA,02-03-2024,Watch,481
jOnes sarAH,2024/01/24,Phone,471 USD
WilliAMS jOhN,01-21-2024,Camera,547 EURO
BrowN micHAeL,01-24-2024,Watch,205
jONEs mICHaEl,2024/01/28,Watch,826.27 EURO
JohNsON johN,02-04-2024,Camera,242.43 EURO
SmiTH LinDa,01-29-2024,Headphones,603.3 EURO
brOwn linda,2024/01/15,Phone,491.6 USD
SmitH MichAEL,02-16-2024,Camera,19
smith kAreN,2024-01-13,Headphones,260 USD
jOhNSOn saRaH,02-03-2024,Watch,699.91
BrowN KAren,2024-01-27,Phone,89 USD
JoNeS LINda,10/02/2024,Watch,383 USD
WiLLIamS john,14/01/2024,Camera,661.66
wILlIamS michAEl,25/01/2024,Watch,573.79 EURO
sMIth KAreN,2024-01-06,Watch,759
JoHnsOn sARAh,2024/02/18,Camera,783
brOwn mIchAel,02/03/2024,Laptop,461.66
smITH linDA,03/03/2024,Phone,891
jOhnSON johN,2024-01-05,Watch,337
brOwN MICHAeL,08/01/2024,Laptop,815.64 EURO
jOnes saraH,2024-01-21,Camera,448.15 USD
sMith LiNdA,2024-01-04,Camera,919 EURO
Brown JoHN,2024-01-24,Camera,262.52
joHNSOn saRAH,03-04-2024,Headphones,826
JONes LiNda,02-19-2024,Camera,699.2
smITH saRaH,2024/02/23,Headphones,347.61 EURO
bRowN KaReN,2024-02-14,Watch,186 EURO
WilliAMs SarAh,01-26-2024,Phone,654 EURO
wIlliams JOhn,01-22-2024,Laptop,761.48 USD
joNES KAReN,2024/01/08,Phone,272.83 EURO
bRoWN LiNDa,18/02/2024,Laptop,42.49 USD
browN JohN,01-23-2024,Camera,82.63
WILlIaMS saraH,10/01/2024,Camera,605
BRown LiNda,2024/01/24,Phone,382 EURO
johnSoN sARah,2024/02/06,Laptop,391
brOwN john,02/01/2024,Watch,251 USD
SMiTh michaEL,2024/01/16,Phone,745
bROWN SARaH,11/01/2024,Camera,280
WiLlIaMS kareN,20/01/2024,Headphones,991
BrowN JoHN,2024-03-02,Watch,667
bROWN MicHAEl,01-27-2024,Camera,90 EURO
bRoWn SArAh,02-23-2024,Laptop,205 USD
wiLlIAmS jOhn,01-07-2024,Headphones,708
BRown lInDA,2024/01/10,Phone,122.58 EURO
WiLLiams sARaH,2024-02-05,Phone,968.08
JOnEs jOHN,2024-02-11,Camera,192.42 USD
wiLlIAms SaRAh,28/02/2024,Camera,60 EURO
WIlLiAmS KAReN,2024/02/19,Phone,911.84
JOHnson joHN,2024/01/13,Phone,280
bROwn LInda,2024/02/26,Laptop,641 EURO
sMITh MiCHaEL,02-01-2024,Phone,736
WILLiAMS liNda,2024/01/10,Headphones,411
Brown kAreN,2024-01-27,Camera,462.72
jONEs Linda,02-03-2024,Watch,16.44 USD
bROwn kARen,2024/01/19,Watch,237.16
BrOwn KaREn,01-11-2024,Headphones,310.88
jOHnsoN lindA,02-05-2024,Laptop,679.78 USD
jOHNSoN MIchAEl,01-07-2024,Camera,791.12
JOHnSon LinDa,02-07-2024,Phone,32 EURO
SmItH mICHaEL,21/02/2024,Laptop,654.98
JOneS SARah,2024/01/09,Laptop,992.16
joHNSON MicHAeL,2024-01-07,Camera,624
JoHnson jOhn,2024-01-19,Headphones,399
BRowN SARaH,03/03/2024,Laptop,819 EURO
JoHNsoN liNdA,2024/01/20,Camera,562 USD
JOHnson SaRaH,2024-02-10,Laptop,717 USD
smiTh saRAh,14/02/2024,Phone,936
JONES LiNdA,01-13-2024,Laptop,903.88
sMith SaRah,2024-02-24,Phone,47 USD
JOnES sArAh,2024-01-02,Camera,93 USD
Smith kAREN,2024-03-04,Watch,121
bROwN LInDa,2024-02-11,Headphones,536 EURO
SMIth kAREn,02-04-2024,Camera,205.56
JoNeS KaREn,2024/01/06,Headphones,860.14
joHNSon lINdA,01-11-2024,Watch,618 USD
JoHnson lINda,02-08-2024,Headphones,932
Smith miChAEL,2024/01/09,Laptop,653
wiLLiamS MIcHaEl,01-31-2024,Headphones,706.91 USD
JoNeS KARen,2024-01-25,Watch,983.21
JOnES lInda,2024/02/18,Phone,21 EURO
brown saRAh,02-03-2024,Camera,788.62 USD
sMith sARAh,2024-02-05,Camera,154
BrowN kaREn,02-10-2024,Headphones,68.65 EURO
WiLliAms JoHN,2024/02/12,Laptop,160
wILLiaMS Sarah,2024/02/04,Phone,933.54
JOnES lInDa,01-15-2024,Headphones,982
smiTh SaRAh,2024/03/04,Camera,911
smith kaREN,02-15-2024,Watch,229.26
jOhnsON karen,10/02/2024,Laptop,235.06
jonEs LinDA,2024/01/20,Camera,167 USD
JOhNsoN john,01-22-2024,Phone,340 USD
SMITH KAren,2024-01-26,Headphones,878 EURO
JOhNSON JOhn,01-06-2024,Watch,263.78
WILLiams liNDA,2024-01-28,Phone,675
smITH MIcHAel,01-18-2024,Laptop,931.29
JohnSON johN,2024-02-14,Watch,74.25
JONeS LINDA,2024-01-08,Phone,770.23 EURO
willIaMS MIchaeL,2024-01-18,Headphones,674 USD
Jones kaREN,2024/01/05,Watch,986.97
joHnSon karEn,2024/01/27,Phone,156
brOWn john,02-26-2024,Phone,750 EURO
JOHnSon JOhN,2024/01/16,Camera,872
SmItH JOHn,2024-01-22,Headphones,685
bROWn KARen,2024/01/02,Watch,932 EURO
wiLlIAMS karen,2024-01-01,Phone,529
wiLlIAMS JOHN,26/01/2024,Headphones,687 EURO
SmiTH SaRah,2024-03-02,Laptop,643
SmITH mICHAEL,2024-01-26,Headphones,880.6 USD
WiLliamS mICHAeL,01-25-2024,Phone,191 USD
sMItH JoHN,2024-02-11,Watch,594
SmIth kAREN,2024/03/03,Phone,788.99
WiLliAms KarEn,02-18-2024,Headphones,159 USD
WilLiAMS michaEL,2024-03-01,Watch,970.66
WIllIaMs SARAH,2024-02-20,Headphones,98.09
jOHNSon MIcHAeL,04/03/2024,Camera,155
jOHnSON joHN,2024-01-09,Camera,687
JoNes lInDa,02-14-2024,Laptop,790.65
johNSON KAReN,2024/01/12,Laptop,827
jOHNSoN joHn,2024-01-24,Phone,420.02 USD
browN liNdA,08/01/2024,Headphones,878.95 USD
SMItH JoHn,2024-01-30,Camera,323.2
williAMs MicHAEL,02-04-2024,Phone,768
JOhNson sARAh,23/01/2024,Watch,174.51
bRowN MiChaEl,2024/02/04,Laptop,553.39
jOHNsON KareN,2024/02/25,Laptop,695
williamS lIndA,2024-02-20,Camera,271.56
sMITh jOhn,01-02-2024,Watch,73.71 USD
Brown linDa,2024/02/24,Watch,394.74 EURO
JoHnsOn LInda,2024/02/02,Watch,254
joNeS micHaEl,2024/01/02,Headphones,776 EURO
JONES saraH,2024/01/28,Headphones,98 EURO
smItH SarAh,2024/01/13,Headphones,236 USD
bRoWN MichaEL,2024/01/04,Phone,14.43
JOhnSoN LiNDA,02-04-2024,Laptop,476 EURO
WIlLIams lInDA,12/02/2024,Camera,200.98
WillIams liNDA,02-17-2024,Laptop,553.03 EURO
smItH SArAH,26/01/2024,Headphones,191.06 EURO
wILlIaMs sarAh,02-13-2024,Camera,507 EURO
WIllIaMS MIcHaEL,2024-02-17,Laptop,301.62
WillIams LindA,01-25-2024,Headphones,959.69
JOhNSON sARah,03/01/2024,Camera,906
BrOwN KarEn,2024-02-15,Watch,384 USD
jOHnSon linDA,01-15-2024,Phone,302
wIlLIaMS miChAEl,01-26-2024,Headphones,817.76 USD
JoNEs LIndA,01-07-2024,Watch,193
BRoWN KARen,02-24-2024,Watch,125.55
BroWN sArah,01-20-2024,Phone,996
SmitH sarAH,2024/02/06,Camera,39.67
BrOwn sarAh,2024/01/20,Phone,771
BROwN SARaH,02-11-2024,Headphones,710
JOnes SArah,2024/03/01,Laptop,55
broWn LINda,2024/02/01,Phone,669.56 EURO
sMiTh MiChAel,27/02/2024,Watch,771
SmiTH karEn,2024/02/01,Watch,267.76 USD
WilLiAMS KaREn,01-14-2024,Phone,141 USD
SMITH saraH,2024-02-14,Headphones,113 USD
wIlliamS kAREn,2024/02/29,Laptop,926.14 USD
JONes mICHaEl,01-13-2024,Headphones,524 USD
wIlLIaMS liNda,01-09-2024,Watch,163 USD
jOHNsON Sarah,01-29-2024,Laptop,464.87 USD
wIlliAms lInDa,2024/02/05,Headphones,15 EURO
wILLIaMS KaREN,13/01/2024,Camera,232
smItH kArEN,01-02-2024,Phone,846
jOhNSoN MiCHAEl,2024-01-07,Watch,497.26
jOneS LiNdA,2024-01-25,Camera,813.21 EURO
joNES KarEN,01-08-2024,Watch,185.68 EURO
smiTH sARah,2024/01/31,Laptop,54 EURO
JOHNsoN sArAH,2024-01-28,Laptop,842
joHnson joHN,01-18-2024,Headphones,725.21 EURO
wILLIamS john,2024/01/04,Laptop,126 USD
jOhnson mICHael,02-12-2024,Headphones,814.22
jOHnSOn mICHaeL,13/01/2024,Laptop,44
brOwN KARen,2024-01-21,Watch,859.08
wILliAMs linDA,02-14-2024,Watch,142 USD
JONES SaraH,2024-02-11,Phone,635.16 USD
WiLLIaMs mIchaEl,02/02/2024,Camera,777.58
wIlLiAms lINDa,2024-02-05,Headphones,799.16
brOWn joHn,2024-01-21,Laptop,762.55
smith MIChael,2024/01/14,Headphones,783
smiTh kaRen,05/01/2024,Phone,314.11
SMIth kARen,12/02/2024,Headphones,433.01
JOHnsOn lInDa,2024-01-09,Watch,430.01
Smith miCHaEL,2024-02-18,Camera,295
sMiTh kAREN,10/01/2024,Watch,325.25 EURO
joHNson jOhN,01-27-2024,Watch,591.59
jONeS MIchAeL,02-09-2024,Watch,400
WiLLiaMS JOHn,2024-02-22,Phone,389 EURO
JohnsON MIcHAeL,24/02/2024,Headphones,713.69
joNeS MiCHaEL,09/02/2024,Watch,908.3
jOHnson kareN,12/02/2024,Camera,209.76
JoNEs sarah,2024/02/17,Phone,374.13 EURO
brOwN JohN,2024-01-25,Laptop,774
jONES KAREN,14/02/2024,Headphones,132.85 EURO
WIllIAmS JOhN,2024/01/19,Headphones,695.48
BRown SaRaH,2024-01-12,Headphones,773.76
wIlLiAMs kaREN,03/02/2024,Watch,522 EURO
williAmS Michael,28/01/2024,Camera,466.31 USD
BROwn saraH,09/02/2024,Watch,271.29 EURO
smITH KAREn,2024/03/03,Phone,318.77 USD
WILlIAms lINDA,2024-01-01,Watch,33 EURO
WILLiamS sArAH,2024-03-02,Laptop,888 USD
jOnES MicHAEL,2024-02-29,Watch,767
jOhNsOn JOhn,02-09-2024,Laptop,493.92 EURO
wilLiaMS SaRAh,17/02/2024,Phone,821.57 EURO
BrOwN KaREn,23/02/2024,Watch,851
JohNSOn miCHaEl,02-11-2024,Camera,392
JOneS MIchAeL,01-11-2024,Headphones,422.46 USD
joNEs KareN,2024/02/22,Camera,242.24 EURO
SMith lindA,2024-02-22,Laptop,697
JoHnsON KAREn,02-05-2024,Watch,575.45
jOHNsON LiNDa,2024-01-15,Phone,971.15 USD
joHNSoN LINdA,2024-02-19,Camera,101 EURO
jOneS jOhN,2024-01-12,Laptop,798 USD
wIlLiams mIcHAeL,2024-01-28,Headphones,221
WILLIAMS mICHaEl,2024-01-05,Laptop,240.65 EURO
johnSoN karEn,02-03-2024,Watch,495.28 USD
smiTh kaREN,17/02/2024,Camera,32
bROWn LINDA,2024-01-19,Phone,151
sMItH SARAh,01-07-2024,Laptop,541
wIlliaMS KarEN,2024/01/29,Headphones,751
brOwn MiCHAel,07/01/2024,Watch,991 USD
SMitH mIcHAel,2024-02-16,Phone,372.15 USD
joHnsON MicHAeL,2024-02-20,Camera,320.97
bRown lIndA,2024/01/21,Laptop,384.97
WIllIaMs LINdA,2024/03/04,Camera,454.21 EURO
willIams john,19/02/2024,Phone,651 USD
SmITh LiNDa,01-10-2024,Headphones,420.04 EURO
JoNes joHN,2024-02-21,Headphones,899
JONES JohN,2024-02-17,Laptop,712.9
JOhnSOn JOHN,2024-02-02,Laptop,910
sMitH LiNDA,2024-01-19,Headphones,24 USD
BrowN MicHaEl,02-11-2024,Camera,942.13 EURO
Smith KAreN,2024/01/28,Watch,29
JOnES JOHn,2024/02/18,Watch,786 EURO
johnSOn karEN,2024/01/28,Laptop,401.42 EURO
wILlIAms MiChAEl,20/02/2024,Watch,139.58 EURO
WilLiAMs KARen,2024/02/08,Watch,19 EURO
jOHnson LiNDa,2024/02/20,Laptop,65
wiLliAMS SarAh,2024/02/01,Phone,351
SmiTH kareN,03-04-2024,Camera,480.12
bRoWN kAReN,04/02/2024,Watch,389
Johnson KAren,20/01/2024,Phone,460.76 USD
JoNeS SArah,2024-01-30,Camera,888 EURO
sMITH sARAH,2024-02-02,Phone,985 USD
SmiTh karEn,04/03/2024,Headphones,23
Smith SArAh,11/01/2024,Camera,301.42
JOnes kaReN,2024/02/20,Headphones,718.14 USD
johNsOn JOhn,2024-01-01,Watch,492.44
wILlIAmS liNdA,2024/01/01,Camera,279.78
JoHnSon LInda,01-04-2024,Laptop,537
JoHnson LInDa,2024/02/13,Phone,385.71 EURO
williAMS JoHn,2024-02-20,Camera,596 EURO
WiLliams sArah,01-28-2024,Phone,751.24 USD
JONeS john,2024/02/06,Phone,688.57
joHnson Sarah,2024-01-13,Camera,414
SmiTH JohN,01-20-2024,Watch,769.38 EURO
joHnSon sarah,2024-01-08,Camera,380.59 USD
bRown SaRAh,2024/01/18,Camera,214
JOneS jOhn,2024/01/20,Phone,491.08
WillIAMs KaREN,21/01/2024,Headphones,321
wilLiAMS KareN,01-27-2024,Headphones,666 EURO
browN liNDa,16/01/2024,Phone,399
SmIth liNda,03-01-2024,Headphones,867.73 EURO
BrOwN kaReN,2024/01/07,Phone,25 USD
jonEs lindA,2024/02/06,Headphones,519.88
wIlLiAMs JoHN,01-04-2024,Headphones,210.34
BROwn SARaH,30/01/2024,Watch,710 USD
WillIAMs mICHAEL,2024/02/08,Phone,855 EURO
SMitH MICHaEL,02-21-2024,Watch,237.41
joHNSoN MIchael,01/03/2024,Watch,222.81 USD
JOHNSOn LINDA,2024-02-22,Watch,588 USD
SmiTH kArEn,16/01/2024,Watch,722 EURO
wILlIams johN,06/01/2024,Headphones,787.13 EURO
jOhNSoN SarAH,01-07-2024,Watch,706.26 EURO
jOHNSon SArAh,2024-02-12,Camera,985.72 EURO
williamS SaRAH,13/01/2024,Camera,347
SMiTh miCHaeL,09/02/2024,Watch,191.47
JohNsoN kAREN,2024/02/10,Camera,538 EURO
jONEs sARAh,03/01/2024,Phone,546.24
WiLLIaMs MIcHael,02-25-2024,Phone,194.95
